team,home_games,home_wins,home_ties,home_losses,home_goal_diff,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goal_diff,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90
Manchester City,19,13,2,4,26,2.16,37.2,14.9,22.3,1.18,19,14,3,2,25,2.37,31.0,15.3,15.7,0.83
Manchester Utd,19,9,4,6,10,1.63,31.2,22.3,8.9,0.47,19,12,7,0,19,2.26,28.9,19.1,9.7,0.51
Liverpool,19,10,3,6,9,1.74,31.5,21.1,10.4,0.55,19,10,6,3,17,1.89,36.0,21.8,14.1,0.74
Chelsea,19,9,6,4,13,1.74,34.1,15.2,18.9,0.99,19,10,4,5,9,1.79,28.3,15.1,13.2,0.7
Leicester City,19,9,1,9,4,1.47,28.2,25.6,2.7,0.14,19,11,5,3,14,2.0,27.6,20.4,7.2,0.38
West Ham,19,10,4,5,10,1.79,24.7,24.9,-0.2,-0.01,19,9,4,6,5,1.63,30.7,23.8,7.0,0.37
Tottenham,19,10,3,6,15,1.74,29.6,21.8,7.8,0.41,19,8,5,6,8,1.53,23.5,27.3,-3.8,-0.2
Arsenal,19,8,4,7,3,1.47,23.0,23.2,-0.2,-0.01,19,10,3,6,13,1.74,28.8,19.8,9.0,0.47
Leeds United,19,8,5,6,7,1.53,30.6,22.9,7.7,0.41,19,10,0,9,1,1.58,25.0,35.0,-10.0,-0.52
Everton,19,6,4,9,-4,1.16,23.3,25.1,-1.8,-0.1,19,11,4,4,3,1.95,22.4,25.0,-2.6,-0.14
Aston Villa,19,7,4,8,2,1.32,27.9,25.9,2.0,0.11,19,9,3,7,7,1.58,24.6,25.2,-0.6,-0.03
Newcastle Utd,19,6,5,8,-7,1.21,26.5,24.7,1.8,0.1,19,6,4,9,-9,1.16,16.9,33.6,-16.7,-0.88
Wolves,19,7,4,8,-4,1.32,19.9,20.6,-0.7,-0.04,19,5,5,9,-12,1.05,16.6,28.9,-12.3,-0.65
Crystal Palace,19,6,5,8,-12,1.21,15.8,28.1,-12.3,-0.65,19,6,3,10,-13,1.11,18.3,30.1,-11.8,-0.62
Southampton,19,8,3,8,3,1.42,21.0,22.3,-1.3,-0.07,19,4,4,11,-24,0.84,20.3,30.7,-10.5,-0.55
Brighton,19,4,9,6,0,1.11,30.6,14.2,16.4,0.86,19,5,5,9,-6,1.05,20.2,21.1,-0.8,-0.04
Burnley,19,4,6,9,-13,0.95,20.5,27.3,-6.8,-0.36,19,6,3,10,-9,1.11,18.8,27.3,-8.6,-0.45
Fulham,19,2,4,13,-19,0.53,18.7,25.9,-7.2,-0.38,19,3,9,7,-7,0.95,21.8,26.7,-4.9,-0.26
West Brom,19,3,6,10,-24,0.79,18.5,35.4,-16.9,-0.89,19,2,5,12,-17,0.58,17.4,32.5,-15.1,-0.8
Sheffield Utd,19,5,1,13,-15,0.84,17.9,30.2,-12.4,-0.65,19,2,1,16,-28,0.37,14.8,32.0,-17.2,-0.91
